date,product,sales
1977-09-16,mention,23301
1998-03-22,stock,360984931
1989-12-06,size,5395
1993-07-28,dinner,11230
1991-07-18,everything,886893326
2014-02-19,sell,941
2012-11-15,old,418915
1989-08-16,part,35435
1998-03-02,rock,236288
1983-10-05,model,873717381
2011-05-11,else,375727
1983-12-22,start,5531331
2005-06-26,current,95
2015-08-11,price,54102
1996-03-04,speak,883
1984-07-01,environmental,773294
1985-07-10,personal,149
1985-08-28,central,989
1983-11-28,ability,8
2007-05-11,speech,476942
2004-10-30,policy,21
1989-06-17,those,54320682
2007-05-18,better,175077
1974-09-06,perhaps,906
2022-09-13,outside,9731699
1984-01-14,green,9781333
1971-06-19,talk,370
1977-08-04,they,7606961
2016-10-29,someone,582687570
2011-06-21,ball,34677
2004-12-02,statement,4
1982-05-19,clearly,8113
2009-04-14,provide,3
2013-11-13,personal,289
1980-09-30,me,7148
2001-01-13,at,1412979
2001-07-30,number,273
1981-08-07,later,562457
1970-02-08,Democrat,687
2014-10-31,any,8
2003-06-09,eye,1720187
2011-09-25,thousand,427
1991-10-20,game,58
2019-07-17,sort,4176
1981-03-16,challenge,310853641
2018-08-19,role,70858
2011-02-23,light,54575742
2001-02-09,college,497835
2002-03-30,effect,4971941
1981-10-14,wall,885026768
1998-04-28,red,155
1998-11-05,about,9897897
1978-04-06,official,69116814
1991-04-13,role,3358
1996-10-26,produce,8011610
1994-11-13,practice,80963
2002-09-04,style,82961
1986-06-03,lay,80560992
1971-05-09,study,19
1989-01-01,mention,4241
1986-04-25,within,503916632
1975-09-27,evening,164045498
2021-11-21,they,269985
1997-07-03,save,7
1996-12-16,face,9
1998-07-31,general,9
2003-02-26,car,1
1995-07-27,top,7670
1997-11-24,itself,1398710
1985-11-02,memory,38
1999-09-24,test,2885456
1984-12-27,force,42751
1990-07-13,case,6794
1971-05-18,activity,78982
1989-11-09,campaign,56
1992-11-17,individual,615342
1994-05-05,everything,305738927
2014-03-11,organization,6713
2012-12-18,value,8498095
2017-11-02,address,98
1985-11-04,phone,488589486
2008-11-14,finally,500740
1973-11-02,too,0
2005-03-07,modern,843
2007-08-12,suggest,3128
2006-04-07,daughter,15
1989-12-15,create,75
2010-12-27,check,452301941
1974-05-20,huge,224
2015-04-16,need,70
1998-06-28,property,73622265
1993-04-22,strong,992233150
2006-02-22,center,6
1990-08-23,history,109
2008-02-24,leave,2
1975-09-09,role,37
2010-05-13,lot,6694
2013-12-13,guess,7
1974-11-11,social,7
1986-01-19,manage,1399647
1999-05-12,people,661512
1978-02-02,may,146982
1995-10-31,themselves,519
1999-08-22,whom,4295
1971-11-07,my,3730743
1988-06-28,wait,210107216
1989-02-03,however,5
2008-06-16,music,32170103
2022-05-07,fund,2
1989-06-04,list,610244
2008-03-21,evening,440
2023-08-06,skill,84262946
2023-12-23,fund,7
1996-09-10,air,110298
1987-09-12,federal,24
1995-11-11,someone,8702
1980-02-10,role,2
2003-07-28,five,227111765
1992-07-20,whether,2679093
2018-11-23,reflect,4
1975-12-29,coach,39811
1997-09-06,major,739
2021-02-05,friend,7239966
1987-05-15,area,608528352
2019-11-03,management,7
2005-05-06,record,89783
2010-06-10,these,50
1991-07-07,measure,975
2020-07-14,human,4635
2002-05-09,turn,452091125
2000-02-13,compare,238
1994-04-12,community,8707393
2014-10-14,relationship,1
1979-05-14,fall,65
1998-12-16,plant,2
1977-02-16,our,3133040
1978-04-01,color,6
1997-08-19,that,8983
2008-02-03,small,275338373
1995-12-05,team,49
2014-08-17,stop,2777
2019-07-28,safe,37325381
2004-11-17,now,59419416
2014-03-14,section,95
1993-08-16,big,3538
2006-02-10,expect,43361
2000-07-24,language,1584
2007-04-04,call,565276
2000-05-20,not,3805851
2011-04-27,month,675
2005-11-24,sometimes,657960
1984-01-19,reveal,621
1994-08-24,south,3
1979-04-28,across,51415
1987-08-01,feeling,1077658
2025-02-05,show,5260
2009-02-03,soon,91699
1997-10-08,require,5
2012-07-15,term,43263
1975-02-05,population,770
2006-09-23,race,0
2017-06-03,support,2108
1986-06-05,card,2
2015-12-26,admit,422747919
2007-03-24,difficult,6140051
1982-03-14,rather,2203
1971-01-05,feeling,912404
1995-05-21,test,9201119
1991-09-15,set,592
2017-10-09,agree,293940660
2000-03-23,pressure,8712
2009-07-29,current,20794
2006-12-27,hard,19
2015-02-03,commercial,416079
2023-04-05,consider,69863
1971-12-10,part,2
2018-02-05,design,45
1995-08-28,wonder,42110711
1994-01-23,wall,425
1986-04-28,edge,9
1970-06-03,people,15321
2003-05-24,first,22495
1996-03-29,color,2891235
2011-01-29,final,0
2025-05-10,play,274024663
2006-02-15,inside,272046958
1990-09-10,total,20343577
2019-05-18,beat,2190
2015-01-28,beyond,4
2022-08-01,sea,31193607
1983-10-10,data,47565728
2012-11-06,keep,527659
2001-05-12,professor,61268
2013-06-05,career,602381
1972-03-31,behavior,4
1992-12-30,figure,4792335
1999-11-06,former,4489
2010-10-21,blue,0
1971-11-16,enjoy,27085
1972-05-10,watch,8076
1997-07-15,morning,6
1973-07-08,table,950229
2013-04-30,participant,719
1975-11-30,wrong,80503368
1999-11-10,sound,23166
1981-02-23,wait,13361
2002-07-16,team,539198657
2010-06-25,buy,51
1972-09-24,home,8
2013-11-23,official,685269
2008-10-09,do,8615779
1996-12-30,which,226
1993-11-07,book,17566
2001-09-09,message,999774
1983-09-10,marriage,6
1972-06-07,two,5469974
2020-06-25,drug,842167
2019-09-10,owner,6336310
2020-05-19,lead,64339
1996-02-04,exactly,14203334
1972-12-31,these,53984
1976-09-26,stand,82613
2004-05-24,newspaper,99080272
1986-09-11,pull,6803
1982-05-28,catch,2
2007-07-29,by,890917337
2008-11-12,involve,5
1993-07-18,commercial,152723
2010-05-23,action,25
1976-07-09,financial,5
1979-06-27,ball,629344
1978-10-20,simply,70374
1993-08-30,character,4
2025-07-04,also,69235
1997-12-07,point,87525
1993-02-22,one,464028
1994-08-18,around,840945369
2001-05-18,maintain,95346
1985-06-06,food,72499519
1989-02-05,week,71222735
1974-07-09,image,16
1999-10-09,audience,979229
2011-03-09,thousand,68758
1974-07-17,baby,605563155
2018-02-09,military,89310
2017-04-27,than,4662
1995-11-17,fine,205047813
1973-02-25,citizen,840
2008-01-02,no,650
1993-10-16,arrive,4
1979-06-23,building,5599992
1988-03-13,fish,8904
2004-06-22,along,63395
2022-06-12,must,222031044
1991-01-18,behind,653782205
1979-09-07,hundred,15062332
2020-12-12,prove,196136031
2022-06-05,local,67
2009-08-28,three,22271
1995-09-11,look,649
1975-10-16,concern,7279
1978-02-07,nation,341
1972-12-14,data,86178519
1973-07-16,her,4338
2009-10-09,site,465771
1986-08-08,knowledge,372082
1985-11-08,medical,794987497
1979-07-21,represent,884
1995-08-27,likely,4360
2002-04-09,TV,894
2003-10-04,just,65142
1989-05-10,few,8102
1997-04-09,television,465
1978-04-08,discussion,657
2024-03-27,smile,497437
2005-07-24,southern,75053
2016-09-28,class,703
1977-05-07,her,73
1974-07-13,culture,942016
2010-08-11,produce,753257
1996-02-19,issue,881318
1983-04-27,who,42
2009-03-09,billion,99647
2018-05-14,set,1593
2023-06-25,they,83149
1972-05-28,born,16
1994-03-30,rate,633857227
1972-07-30,street,20
1997-08-14,drop,3
2023-12-08,board,432111085
2024-12-04,until,51175227
2018-10-23,fine,9
1972-05-04,trade,6206566
2017-02-27,form,1230904
1994-01-20,appear,91133
1999-05-11,by,95
1988-12-22,more,275877
2005-02-18,short,9106
2003-02-06,training,6876
1991-08-08,structure,7630764
1998-01-04,ok,25490
1995-05-09,high,9
1981-05-31,laugh,499
1995-02-05,it,3687
1989-04-26,hotel,201798645
1981-04-01,size,827459818
1980-01-22,become,37302523
1979-03-25,economic,99124
1973-04-16,long,2
1984-11-17,generation,9
1976-06-28,perform,897724606
2011-12-28,bad,71351348
